Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
284,Stony Brook,33,25,8,.758,5.61,-4.11,,14,2,,11,1,,13,6,,2245,1898,,64.7,88.9,.259,.403,.469,48.8,54.5,9.5,7.7,.440,17.9,29.8,.173
285,Syracuse NCAA,40,30,10,.750,20.30,8.57,,11,7,,17,2,,5,5,,2816,2347,,65.2,89.4,.354,.403,.467,50.3,67.6,10.6,8.0,.426,19.7,38.4,.238
286,TCU,32,11,21,.344,-4.28,4.39,,2,16,,9,9,,1,10,,1761,2002,,61.7,101.4,.336,.285,.523,53.1,55.1,9.1,9.0,.492,17.3,35.8,.230
287,Temple NCAA,34,24,10,.706,9.54,5.21,,11,5,,14,3,,8,4,,2456,2309,,67.6,100.4,.341,.295,.528,53.5,51.6,7.4,8.0,.490,17.5,34.6,.247
288,Tennessee,33,20,13,.606,9.04,6.07,,11,7,,13,4,,4,7,,2189,2091,,63.1,98.9,.344,.278,.505,48.1,49.3,9.9,11.0,.462,15.1,31.5,.250
289,Tennessee State,33,18,15,.545,-2.14,-1.27,,11,5,,11,2,,5,11,,2360,2308,,68.8,101.0,.387,.341,.522,50.2,55.4,10.4,8.3,.485,17.4,35.6,.266
290,Tennessee Tech,29,12,17,.414,-9.58,-3.21,,5,11,,9,5,,3,12,,1878,1951,,66.3,101.6,.447,.354,.539,51.2,53.8,11.3,8.8,.496,19.3,36.6,.315
291,Tennessee-Martin,30,9,21,.300,-16.54,-4.14,,5,11,,7,7,,2,13,,2008,2295,,69.5,108.2,.448,.354,.563,53.2,61.9,10.2,11.3,.523,17.3,36.2,.321
292,Texas,34,16,18,.471,6.84,6.54,,7,11,,12,4,,2,10,,2229,2232,,66.7,96.0,.427,.319,.482,51.2,54.9,11.7,8.5,.430,16.1,36.5,.299
293,Texas A&M,33,18,15,.545,6.51,4.87,,7,11,,12,6,,4,6,,2103,2049,,61.7,98.5,.357,.361,.514,51.8,57.7,9.7,10.6,.475,18.6,37.3,.252
294,Texas A&M-Corpus Christi,29,6,23,.207,-11.78,-3.68,,5,13,,4,9,,2,14,,1746,1962,,63.3,106.8,.471,.345,.547,55.5,58.7,7.5,8.0,.505,16.6,38.1,.327
295,Texas Southern,31,17,14,.548,-2.12,-7.28,,16,2,,10,3,,7,11,,2179,2019,,65.2,98.3,.298,.277,.487,52.8,52.0,8.3,10.6,.453,14.8,36.3,.204
296,Texas State,34,12,22,.353,-6.39,-0.93,,5,13,,4,11,,5,8,,2398,2558,,71.6,104.7,.374,.320,.547,56.6,53.3,10.0,9.9,.510,17.8,37.4,.268
297,Texas Tech,31,11,20,.355,-3.10,4.32,,3,15,,9,11,,1,8,,2026,2256,,68.2,106.3,.411,.334,.563,54.2,53.1,11.2,9.5,.528,18.4,37.6,.290
298,Texas-Rio Grande Valley,32,16,16,.500,-13.37,-8.19,,5,3,,11,2,,3,11,,2101,2155,,66.0,99.7,.342,.280,.522,55.6,51.8,10.8,7.4,.492,19.2,38.7,.229
299,The Citadel,30,8,22,.267,-16.96,-5.42,,5,13,,5,8,,3,12,,1931,2195,,65.0,112.2,.280,.366,.566,54.7,51.7,13.7,8.2,.540,16.1,40.1,.203
300,Toledo,28,15,13,.536,-2.42,-3.03,,10,6,,8,4,,6,9,,1928,1911,,66.6,101.6,.359,.381,.525,55.5,52.4,9.9,10.2,.486,18.0,38.7,.256
301,Towson,31,18,13,.581,-1.89,-2.56,,13,5,,6,5,,9,8,,2125,2066,,65.3,99.6,.373,.303,.491,47.7,54.7,11.2,10.2,.447,13.9,34.5,.262
302,Troy,33,12,21,.364,-8.75,-4.00,,6,14,,8,7,,2,12,,2046,2203,,61.9,105.1,.366,.352,.538,55.1,52.1,8.0,9.4,.510,16.4,36.8,.244
303,Tulane,35,20,15,.571,1.87,-1.80,,6,10,,15,4,,3,10,,2436,2299,,65.2,100.8,.330,.344,.547,49.3,63.3,9.0,10.9,.515,18.2,30.7,.237
304,Tulsa,33,17,16,.515,-1.06,0.94,,8,8,,9,5,,5,8,,2241,2249,,67.8,99.4,.408,.369,.512,51.9,60.3,11.0,10.0,.473,16.4,33.3,.277
305,UAB,33,16,17,.485,0.27,1.52,,7,9,,11,4,,4,10,,2357,2351,,71.3,99.5,.389,.327,.537,51.7,54.7,11.7,9.6,.500,19.4,34.5,.273
306,UC Davis,31,14,17,.452,-3.80,-2.87,,9,9,,6,7,,6,9,,2210,2239,,67.3,106.9,.310,.357,.530,52.4,58.3,11.3,9.5,.496,13.4,33.0,.223
307,UC Irvine,37,21,16,.568,-0.15,-0.97,,11,7,,13,1,,5,13,,2558,2418,,67.0,96.5,.371,.297,.479,51.1,52.5,9.1,7.6,.435,13.9,32.8,.258
308,UC Riverside,31,6,25,.194,-11.81,-2.02,,3,15,,5,9,,1,14,,1829,2062,,64.5,102.7,.320,.396,.536,50.4,58.8,10.1,9.0,.501,16.0,30.8,.232
309,UC Santa Barbara,31,11,20,.355,-4.53,0.10,,7,11,,8,6,,3,13,,2003,2090,,64.3,103.7,.372,.362,.527,51.5,58.9,10.3,8.3,.488,15.5,34.1,.264
310,UCLA NCAA,35,25,10,.714,12.82,7.77,,13,5,,15,3,,6,3,,2604,2427,,69.6,98.3,.246,.308,.498,53.4,52.2,8.9,7.3,.475,16.8,37.1,.164
311,UNC Asheville,32,16,16,.500,-3.63,-3.94,,10,6,,10,4,,6,8,,2296,2213,,69.6,99.0,.319,.312,.517,50.9,56.2,11.3,7.7,.488,17.8,35.3,.215
312,UNC Greensboro,31,9,22,.290,-9.38,-5.28,,6,12,,6,9,,2,12,,2222,2286,,71.7,102.9,.501,.330,.548,52.5,49.0,8.6,8.4,.494,17.2,30.4,.367
313,UNC Wilmington,30,10,20,.333,-10.07,-2.24,,5,13,,9,5,,1,15,,1899,2111,,66.6,105.7,.372,.303,.536,52.6,50.3,13.3,9.5,.500,15.4,34.9,.261
314,UT Arlington,33,19,14,.576,0.55,-0.94,,11,7,,7,8,,10,5,,2121,2072,,66.6,94.3,.439,.422,.499,50.1,56.6,11.3,11.4,.458,19.5,34.9,.290
315,Utah,33,15,18,.455,4.70,6.63,,5,13,,11,7,,2,10,,2117,2086,,63.3,99.1,.297,.343,.489,52.6,51.8,11.6,10.8,.455,14.4,34.9,.207
316,Utah State,31,21,10,.677,3.75,-0.72,,11,7,,14,4,,7,5,,2134,1971,,62.2,101.0,.301,.381,.504,44.4,61.0,10.9,7.9,.476,13.1,28.4,.199
317,Utah Valley,32,14,18,.438,-11.39,-7.04,,3,5,,9,4,,3,11,,2157,2165,,65.2,101.4,.275,.335,.522,52.9,47.9,9.6,7.5,.492,15.8,31.6,.194
318,UTEP,32,18,14,.563,4.62,2.37,,10,6,,12,3,,4,7,,2042,1970,,61.8,98.1,.348,.288,.501,54.2,53.2,10.5,8.2,.466,16.8,36.5,.234
319,UTSA,32,10,22,.313,-6.48,-1.01,,3,14,,3,9,,4,11,,2048,2223,,65.2,106.2,.344,.362,.554,55.5,60.6,10.6,14.1,.526,17.5,38.5,.236
320,Valparaiso NCAA,34,26,8,.765,7.15,-1.12,,13,3,,15,2,,10,5,,2420,2119,,65.1,95.4,.363,.262,.503,49.5,49.9,10.7,8.3,.459,17.3,31.4,.262
321,Vanderbilt,33,16,17,.485,6.26,6.05,,8,10,,9,6,,4,7,,1991,1984,,61.4,97.1,.335,.342,.497,52.7,49.4,9.0,11.8,.460,15.9,31.9,.232
322,Vermont,33,21,12,.636,-0.12,-4.45,,11,5,,10,5,,9,7,,2097,1954,,62.0,95.6,.338,.361,.503,48.5,52.1,10.0,10.7,.467,17.8,31.1,.234
323,Villanova NCAA,34,20,14,.588,10.75,8.54,,10,8,,12,4,,6,7,,2307,2214,,67.4,94.9,.408,.365,.512,50.2,63.3,11.4,9.7,.472,19.3,32.1,.278
324,Virginia,35,23,12,.657,12.91,4.25,,11,7,,20,2,,3,8,,2248,1945,,61.3,90.3,.318,.341,.480,51.2,47.0,8.6,8.9,.441,18.2,30.7,.223
325,Virginia Commonwealth NCAA,36,27,9,.750,16.97,4.55,,12,4,,15,2,,8,3,,2770,2323,,68.6,93.4,.403,.329,.534,52.0,51.0,8.6,8.7,.499,24.6,37.2,.276
326,VMI,31,14,17,.452,-11.36,-7.08,,8,8,,8,5,,5,10,,2423,2411,,73.7,105.1,.301,.297,.531,53.9,51.4,9.2,6.7,.500,16.6,39.1,.213
327,Virginia Tech,32,13,19,.406,1.80,6.34,,4,14,,10,7,,2,9,,2248,2393,,67.8,108.5,.381,.370,.532,53.5,54.2,7.6,8.6,.501,13.2,36.5,.255
328,Wagner,31,19,12,.613,-3.22,-5.06,,12,6,,11,3,,7,8,,2136,2079,,68.0,96.3,.418,.338,.513,49.9,52.3,10.3,8.5,.469,19.0,33.7,.293
329,Wake Forest,31,13,18,.419,3.44,6.19,,6,12,,11,5,,1,10,,2093,2178,,69.2,101.5,.355,.296,.538,53.5,51.3,9.7,11.5,.508,17.9,32.9,.243
330,Washington,34,18,16,.529,7.88,7.18,,9,9,,11,7,,5,7,,2309,2285,,66.1,100.9,.323,.289,.514,49.6,50.8,9.3,7.2,.482,15.8,34.8,.222
331,Washington State,32,13,19,.406,6.65,5.22,,4,14,,10,7,,1,9,,2061,2015,,62.4,100.1,.317,.385,.526,51.4,56.4,10.0,14.4,.496,16.9,31.9,.220
332,Weber State,37,30,7,.811,5.78,-5.71,,18,2,,17,2,,11,5,,2800,2275,,65.4,93.0,.324,.244,.480,46.5,41.9,8.7,6.5,.436,15.0,27.0,.236
333,West Virginia,32,13,19,.406,4.61,6.55,,6,13,,8,6,,3,9,,2116,2178,,65.5,103.5,.400,.332,.543,51.5,59.1,9.1,9.7,.511,18.6,37.6,.270
334,Western Carolina,33,14,19,.424,-6.42,-4.39,,9,9,,7,6,,5,11,,2288,2299,,66.7,103.6,.461,.325,.539,53.0,49.4,11.3,8.6,.493,17.9,38.5,.328
335,Western Illinois,31,22,9,.710,-1.87,-5.42,,13,3,,12,2,,7,5,,1845,1663,,58.5,91.4,.282,.320,.485,50.8,51.5,10.5,7.3,.454,17.8,28.5,.193
336,Western Kentucky NCAA,36,20,16,.556,-0.63,-1.12,,10,10,,11,4,,4,9,,2409,2364,,67.0,97.6,.381,.318,.514,49.7,44.7,9.0,10.8,.475,18.0,32.9,.265
337,Western Michigan,35,22,13,.629,0.42,-1.44,,10,6,,12,2,,7,10,,2345,2237,,65.2,97.0,.350,.354,.506,48.3,56.0,11.3,10.0,.467,16.9,31.9,.245
338,Wichita State NCAA,39,30,9,.769,14.68,6.09,,12,6,,14,2,,7,5,,2720,2385,,64.9,94.3,.383,.366,.499,46.8,51.4,8.7,8.3,.453,17.5,29.6,.274
339,William & Mary,30,13,17,.433,-4.01,-3.42,,7,11,,8,5,,5,11,,2064,2048,,63.4,105.0,.297,.332,.515,52.2,49.9,10.3,12.2,.485,13.8,34.6,.205
340,Winthrop,31,14,17,.452,-8.57,-4.39,,6,10,,11,4,,2,12,,1859,1897,,62.0,98.3,.369,.360,.507,53.2,55.5,10.4,9.7,.459,16.1,33.7,.273
341,Wisconsin NCAA,35,23,12,.657,18.76,9.73,,12,6,,15,3,,5,6,,2274,1958,,61.4,89.9,.257,.249,.462,49.2,40.3,9.1,7.3,.430,15.6,28.9,.177
342,Wofford,32,13,19,.406,-6.71,-4.61,,7,11,,9,3,,3,15,,1858,1890,,63.6,92.8,.378,.323,.515,53.8,48.6,9.8,9.1,.475,19.9,29.6,.266
343,Wright State,36,23,13,.639,2.25,-1.15,,10,6,,13,5,,8,7,,2233,2105,,63.0,92.1,.430,.359,.515,53.5,50.1,8.2,10.2,.471,21.8,31.9,.297
344,Wyoming,34,20,14,.588,5.32,4.54,,4,12,,13,6,,6,7,,2074,2010,,60.8,96.4,.328,.306,.515,56.0,47.2,9.1,8.0,.478,18.8,34.2,.235
345,Xavier,31,17,14,.548,7.71,4.97,,9,7,,11,4,,4,7,,2021,1936,,63.2,98.0,.333,.385,.502,48.8,53.0,8.7,9.4,.467,15.9,32.1,.228
346,Yale,31,14,17,.452,-3.94,-0.80,,8,6,,8,4,,5,11,,2079,2056,,64.1,101.8,.398,.336,.545,49.3,55.2,10.2,11.3,.509,18.0,31.7,.278
347,Youngstown State,34,18,16,.529,-2.13,-0.80,,7,9,,12,5,,6,9,,2426,2356,,67.9,99.9,.332,.303,.514,53.7,50.6,8.6,8.0,.477,16.5,34.3,.236
